Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,40.5,-93.2,-90.0,top
C2,4.7uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,51.8,-28.6,-90.0,top
C3,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,46.4,-28.6,-90.0,top
C4,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,41.0,-28.6,-90.0,top
C5,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,31.7,-35.1,0.0,top
C6,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,31.7,-40.6,0.0,top
C7,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,31.6,-46.1,0.0,top
C8,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,31.6,-53.0,0.0,top
C9,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,43.8,-56.8,90.0,top
C10,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,55.6,-56.8,90.0,top
C11,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,60.0,-45.6,180.0,top
C12,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,60.0,-40.6,180.0,top
C13,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,60.0,-33.4,180.0,top
C14,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,47.6,-56.8,90.0,top
C15,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,39.4,-28.6,-90.0,top
C16,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,37.8,-28.6,-90.0,top
C17,2n2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,44.1,-93.2,-90.0,top
C18,2.2uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,31.6,-51.2,180.0,top
C19,2.2uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,53.8,-56.8,-90.0,top
C20,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,33.3,-80.4,-90.0,top
C21,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,34.6,-28.6,-90.0,top
C22,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,36.2,-28.6,-90.0,top
C23,30pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,45.8,-21.6,0.0,top
